Species,Mass(g),BMR (kJ/h),Timeb,Foodc,Climated,Habitate,Torpor?f,Migrationg,Islands?h,Mountains?i,Flightless?j,Reference
Empidonax virescens,12.3,0.64,N,FI,T,F,N,Y,N,N,N,Yarbrough 1971
Epimachus meyeri,202.7,6.63,D/N,F/I,TR,F,N,N,N,Y,N,McNab 2005
Eremalauda dunni,20.6,1,N,I/S,TR,B,N,N,N,N,N,Tieleman et al. 2002
Eremophila alpestris,26,1.19,N,I,T,B/G,N,+/O,N,N,N,Trost 1972
Erithacus rubecula,17.6,1.01,N,F/I,T,F,N,+/O,N,N,N,Kendeigh et al. 1977
Erythrura trichroa,15.1,0.86,N,F/S,TR,B,N,N,N,Y,N,"McNab, pers. obs."
Estrilda melpoda,7.5,0.47,N,I/S,TR,O,N,N,N,N,N,Marschall & Prinzinger 1991
Estrilda troglodytes,7.5,0.54,N,S,TR,O,N,N,N,N,N,Kendeigh et al. 1977
Eucometis penicillata,30.7,1.42,N,F/I,TR,F,N,N,N,N,N,Wiersma et al. 2007
Eudyptes chrysocome,2330,21,?,AI,P,M,N,Y,N,N,Y,Gavrilov 1977; Brown 1984
Eudyptes chrysolophus,3870,31.13,?,AI,T,P,N,Y,N,N,Y,Gavrilov 1977; Brown 1984
Eudyptes pachyrhynchus,2600,24.92,N,AI,T,M,N,Y,N,N,Y,Drent & Stonehouse 1971
Eudyptula minor,1100,11.49,N,V,T,M,N,N,N,N,Y,Baudinette et al. 1986
Eulacestoma nigropectus,19.9,1.24,N,I,TR,F,N,N,N,Y,N,"McNab, pers. obs."
Euphonia laniirostris,13.5,1.06,N,F,TR,B,N,N,N,N,N,Wiersma et al. 2007
Ficedula hypoleuca,11.7,0.84,N,I,T,F,N,Y,N,N,N,Kendeigh et al. 1977
Fratercula arctica,329,9.25,N,V,T,M,N,Y,N,N,N,Bryant & Furness 1995
Fringilla coelebs,21,1.34,N,S,T,F,N,+/O,N,N,N,Gavrilov & Dol’nik 1985
Fringilla montifringilla,21,1.38,N,O,T,F,N,Y,N,N,N,Kendeigh et al. 1977
Fulica atra,412,7.36,N,AV,T,L,N,+/O,N,N,N,Kendeigh et al. 1977
